Length (ft),Length (in),Total Length (ft),Gender,Receipt Amount,Date Caught,Time of Day,Location Caught,Weight (lbs),Species,SFWMDPyMo #
8,6,8.50,Male,$175.00,7/23/2017,23:15,L-28T,16.00,Burmese,314
6,0,6.00,Female,$100.00,7/24/2017,1:30,L-28T,6.00,Burmese,321
7,6,7.50,Female,$150.00,7/24/2017,4:30,L-28T,12.00,Burmese,322
2,6,2.50,Male,$50.00,7/24/2017,2:30,L-28T,1.00,Burmese,323
2,2,2.17,Female,$50.00,7/24/2017,11:30,L-28T,1.00,Burmese,324
2,5,2.42,Female,$50.00,7/24/2017,2:30,L-28T,1.00,Burmese,325
2,3,2.25,Female,$50.00,7/24/2017,21:50,L-28T,1.00,Burmese,326
2,2,2.17,Female,$50.00,7/24/2017,21:53,L-28T,1.00,Burmese,327
2,2.5,2.21,Male,$50.00,7/24/2017,21:00,L-28T,1.00,Burmese,328
6,1,6.08,Male,$100.00,7/25/2017,0:55,L-28T,8.00,Burmese,333
10,9,10.75,Male,$225.00,7/20/2017,22:45,L-28T,30.00,Burmese,284
2,3,2.25,Female,$50.00,7/22/2017,1:00,L-28T,1.00,Burmese,304
2,4,2.33,Female,$50.00,7/24/2017,1:00,L-28T,1.00,Burmese,329
8,7,8.58,Male,$175.00,7/24/2017,22:00,L-28T,20.00,Burmese,330
2,3,2.25,Female,$50.00,7/27/2017,0:00,L-28T,1.00,Burmese,341
2,5,2.42,Male,$50.00,7/27/2017,0:15,L-28T,1.00,Burmese,342
2,6.5,2.54,Female,$50.00,7/27/2017,0:30,L-28T,1.00,Burmese,343
2,9,2.75,Male,$50.00,7/27/2017,0:45,L-28T,1.00,Burmese,344
2,4,2.33,Male,$50.00,7/27/2017,1:00,L-28T,1.00,Burmese,345
2,6.5,2.54,Male,$50.00,7/27/2017,1:30,L-28T,1.00,Burmese,346
2,6.5,2.54,Male,$50.00,7/27/2017,1:50,L-28T,1.00,Burmese,347
2,5.5,2.46,Male,$50.00,7/27/2017,2:05,L-28T,1.00,Burmese,348
2,5.5,2.46,Male,$50.00,7/27/2017,2:15,L-28T,1.00,Burmese,349
7,4,7.33,Male,$125.00,7/24/2017,23:07,Cell 27,16.00,Burmese,331
8,2,8.17,Female,$150.00,7/24/2017,0:00,Cell 27,14.00,Burmese,332
2,3,2.25,Male,$50.00,7/25/2017,23:53,L-28T,1.00,Burmese,334
2,5,2.42,Male,$50.00,7/26/2017,1:38,L-28T,1.00,Burmese,340
2,6,2.50,Male,$50.00,7/25/2017,0:22,L-28T,1.00,Burmese,335
2,5,2.42,Female,$50.00,7/27/2017,21:30,L-28T,1.00,Burmese,350
2,7,2.58,Male,$50.00,7/27/2017,21:50,L-28T,1.00,Burmese,351
2,7,2.58,Male,$50.00,7/27/2017,22:25,L-28T,1.00,Burmese,352
2,7,2.58,Female,$50.00,7/27/2017,23:10,L-28T,1.00,Burmese,353
2,6,2.50,Male,$50.00,7/28/2017,0:53,L-28T,1.00,Burmese,356
2,6,2.50,Male,$50.00,7/28/2017,2:30,L-28T,1.00,Burmese,357
2,5,2.42,Male,$50.00,7/28/2017,21:30,L-28T,1.00,Burmese,358
2,6,2.50,Male,$50.00,7/28/2017,22:00,L-28T,1.00,Burmese,359
2,6,2.50,Male,$50.00,7/28/2017,22:15,L-28T,1.00,Burmese,360
8,6,8.50,Female,$175.00,7/28/2017,22:45,L-28T,14.00,Burmese,361
7,1,7.08,Female,$125.00,7/25/2017,4:15,Rocky Glades,10.00,Burmese,336
7,1,7.08,Male,$125.00,7/28/2017,0:20,L-28T,9.00,Burmese,362
8,7,8.58,Female,$175.00,7/28/2017,1:15,L-28T,24.00,Burmese,363
2,5,2.42,Male,$50.00,7/28/2017,2:20,L-67,1.00,Burmese,364
9,7,9.58,Male,$200.00,7/29/2017,0:00,Rocky Glades,18.00,Burmese,369
6,7,6.58,Female,$125.00,7/29/2017,1:30,Rocky Glades,7.00,Burmese,370
5,3,5.25,Female,$75.00,7/15/2017,12:45,L-67A,8.00,Burmese,251
10,6,10.50,Female,$225.00,7/28/2017,2:30,L-67A,32.00,Burmese,367
10,8,10.67,Female,$225.00,7/28/2017,2:15,L-67A,20.00,Burmese,368
7,9,7.75,Female,$150.00,7/28/2017,20:04,L-31N,16.00,Burmese,365
4,10,4.83,Female,$75.00,7/28/2017,4:00,C-4,6.00,Burmese,366
7,3,7.25,Female,$125.00,7/29/2017,0:30,L-28T,12.00,Burmese,371
2,3,2.25,Female,$50.00,7/29/2017,3:25,L-28T,1.00,Burmese,372
11,1,11.08,Female,$225.00,7/29/2017,0:00,L-28T,30.00,Burmese,373
2,4,2.33,Female,$50.00,7/29/2017,0:30,L-28T,1.00,Burmese,374
2,11,2.92,Male,$50.00,7/29/2017,1:00,L-28T,1.00,Burmese,375
10,9,10.75,Female,$225.00,7/29/2017,2:00,L-28T,32.00,Burmese,376
2,4,2.33,Female,$50.00,7/25/2017,21:20,L-28T,1.00,Burmese,337
2,5,2.42,Male,$50.00,7/25/2017,21:40,L-28T,1.00,Burmese,338
2,3,2.25,Male,$50.00,7/25/2017,22:02,L-28T,1.00,Burmese,339
10,4,10.33,Female,$200.00,7/27/2017,22:20,C-111,28.00,Burmese,354
2,2.5,2.21,Male,$50.00,7/27/2017,22:30,C-111,1.00,Burmese,355
2,5.5,2.46,Male,$50.00,8/1/2017,23:01,Cell 27,1.00,Burmese,379
2,4.5,2.38,Female,$50.00,8/1/2017,20:44,L-68,1.00,Burmese,380
2,1.5,2.13,Male,$50.00,8/1/2017,20:41,L-68,1.00,Burmese,381
2,1.5,2.13,Female,$50.00,8/1/2017,21:31,L-68,1.00,Burmese,382
7,6,7.50,Male,$150.00,8/2/2017,23:45,L-67A,24.00,Burmese,385
11,1,11.08,Female,$225.00,8/2/2017,13:28,C-27,45.00,Burmese,386
4,11,4.92,Female,$75.00,8/3/2017,12:48,C-27,7.00,Burmese,392
4,8,4.67,Female,$75.00,8/2/2017,21:30,C-111E,4.00,Burmese,387
2,0,2.00,Male,$50.00,8/2/2017,21:30,L-33,1.00,Burmese,388
2,3,2.25,Female,$50.00,8/2/2017,22:09,L-68,1.00,Burmese,389
5,4,5.33,Male,$75.00,8/2/2017,23:57,L-67,5.00,Burmese,390
4,7,4.58,Female,$75.00,8/2/2017,23:11,L-67,5.00,Burmese,391
5,1,5.08,Female,$75.00,8/3/2017,22:00,L-31,4.00,Burmese,393
12,1,12.08,Female,$250.00,8/4/2017,21:20,L-31,38.00,Burmese,397
9,1,9.08,Male,$175.00,8/4/2017,0:20,L-29,19.00,Burmese,398
2,7,2.58,Male,$50.00,8/4/2017,1:45,L-29,1.00,Burmese,399
2,5,2.42,Female,$50.00,8/4/2017,22:45,L-29,1.00,Burmese,400
10,1,10.08,Female,$200.00,8/4/2017,0:00,L-29,24.00,Burmese,401
9,0,9.00,Male,$175.00,8/4/2017,1:00,L-29,18.00,Burmese,402
2,4,2.33,Male,$50.00,8/5/2017,1:00,L-29,1.00,Burmese,406
2,3,2.25,Male,$50.00,8/5/2017,1:30,L-29,1.00,Burmese,407
2,5,2.42,Female,$50.00,8/5/2017,2:00,L-29,1.00,Burmese,408
6,9,6.75,Female,$125.00,8/1/2017,4:52,Rocky Glades,8.00,Burmese,383
2,3,2.25,Female,$50.00,8/1/2017,1:40,Rocky Glades,1.00,Burmese,384
10,6,10.50,Female,$225.00,8/4/2017,1:55,L-67A,32.00,Burmese,403
11,7,11.58,Female,$250.00,8/4/2017,1:45,L-67A,36.00,Burmese,404
2,0,2.00,?,$50.00,8/4/2017,9:15,L-67A,0.80,Burmese,405
8,6,8.50,Female,$175.00,6/27/2017,21:50,L-67A,16.00,Burmese,187
5,7,5.58,Male,$100.00,6/28/2017,23:04,L-67A,2.00,Burmese,193
8,0,8.00,Female,$150.00,7/2/2017,1:06,L-31,8.00,Burmese,204
6,0,6.00,Male,$100.00,7/19/2017,22:49,Frog Pond,8.00,Burmese,272
6,6,6.50,Male,$125.00,7/31/2017,22:45,L-30,5.00,Burmese,377
7,11,7.92,Female,$150.00,7/31/2017,0:16,L-30,8.00,Burmese,378
2,4,2.33,Female,$50.00,8/6/2017,21:30,L-31N,1.00,Burmese,413
7,1,7.08,Male,$125.00,8/6/2017,23:00,L-31N,8.00,Burmese,414
9,5,9.42,Female,$175.00,8/6/2017,4:55,L-30,24.00,Burmese,416
7,6,7.50,Male,$150.00,8/5/2017,22:00,L-67,9.00,Burmese,409
8,6,8.50,Female,$175.00,8/7/2017,5:00,Rocky Glades,7.00,Burmese,417
2,2,2.17,Female,$50.00,8/7/2017,0:00,L-68,1.00,Burmese,418
8,0,8.00,Male,$150.00,8/7/2017,23:00,L-31N,11.00,Burmese,419
5,7,5.58,Female,$100.00,8/9/2017,1:00,Rocky Glades,6.00,Burmese,429
8,9,8.75,Male,$175.00,8/9/2017,0:56,L-67C,14.00,Burmese,430
5,4,5.33,Female,$75.00,8/8/2017,21:40,C-103,5.00,Burmese,427
7,11,7.92,Female,$150.00,8/7/2017,23:21,L-30,18.00,Burmese,420
7,4,7.33,Female,$125.00,8/9/2017,21:55,L-31N,8.00,Burmese,431
14,9,14.75,Female,$325.00,8/9/2017,0:20,L-30,80.00,Burmese,432
2,1,2.08,Female,$50.00,8/3/2017,2:00,L-67A,1.00,Burmese,394
2,2,2.17,Male,$50.00,8/6/2017,3:00,L-67A,1.00,Burmese,415
7,4,7.33,Male,$125.00,8/7/2017,5:00,L-67A,8.00,Burmese,421
2,3,2.25,Female,$50.00,8/7/2017,1:00,L-29,1.00,Burmese,422
2,2.5,2.21,Female,$50.00,8/8/2017,21:00,Southern Glades,1.00,Burmese,428
7,6,7.50,Male,$150.00,8/9/2017,23:15,Rocky Glades,8.00,Burmese,433
7,11,7.92,Female,$150.00,8/9/2017,22:23,L-29,20.00,Burmese,434
6,10.5,6.88,Male,$125.00,8/9/2017,23:07,L-29,9.00,Burmese,435
7,7,7.58,Female,$150.00,8/9/2017,22:47,Rocky Glades,8.00,Burmese,436
9,6,9.50,Female,$200.00,8/10/2017,22:57,L-29,27.00,Burmese,445
2,4,2.33,Male,$50.00,8/10/2017,13:30,Rocky Glades,1.00,Burmese,446
10,2,10.17,Female,$200.00,8/11/2017,23:00,L-29,30.00,Burmese,454
14,5,14.42,Female,$300.00,8/11/2017,23:30,L-29,85.00,Burmese,455
2,2,2.17,Male,$50.00,8/10/2017,17:00,L-28T,1.00,Burmese,447
2,3.5,2.29,Male,$50.00,8/10/2017,21:00,L-28T,1.00,Burmese,448
2,2.5,2.21,Male,$50.00,8/10/2017,21:15,L-28T,1.00,Burmese,449
7,6.5,7.54,Female,$150.00,8/10/2017,17:00,L-28T,16.00,Burmese,450
2,4,2.33,Male,$50.00,8/3/2017,21:20,L-30,1.00,Burmese,395
2,1.5,2.13,Male,$50.00,8/3/2017,22:30,L-30,1.00,Burmese,396
2,2.5,2.21,Female,$50.00,8/11/2017,22:19,L-30,1.00,Burmese,456
2,2.5,2.21,Female,$50.00,8/11/2017,23:52,L-30,1.00,Burmese,457
6,10.5,6.88,Male,$125.00,8/11/2017,20:45,L-31N,8.00,Burmese,458
8,11.5,8.96,Female,$175.00,8/12/2017,0:43,L-67,21.00,Burmese,459
9,4,9.33,Male,$175.00,8/12/2017,3:40,L-67,18.00,Burmese,460
7,6,7.50,Male,$150.00,8/12/2017,1:25,L-67,9.00,Burmese,461
7,0.5,7.04,Male,$125.00,8/12/2017,1:00,L-67,15.00,Burmese,462
5,10.5,5.88,Female,$100.00,8/12/2017,2:00,L-67,8.00,Burmese,463
6,6,6.50,Male,$125.00,8/12/2017,3:00,L-67,8.00,Burmese,464
2,3,2.25,Male,N/A,8/9/2017,21:30,L-28T,1.00,Burmese,444
2,3,2.25,Male,N/A,8/10/2017,22:30,L-28T,1.00,Burmese,453
2,3,2.25,?,N/A,8/12/2017,0:00,C-4,1.00,Burmese,475
2,3,2.25,?,N/A,8/12/2017,1:00,C-4,1.00,Burmese,476
2,4,2.33,Male,$50.00,8/12/2017,21:23,L-29,1.00,Burmese,465
2,4,2.33,Male,$50.00,8/12/2017,21:24,L-29,1.00,Burmese,466
2,5,2.42,Male,$50.00,8/12/2017,21:26,L-29,1.00,Burmese,467
9,7,9.58,Female,$200.00,8/12/2017,21:40,L-29,24.00,Burmese,468
10,1,10.08,Female,$200.00,8/12/2017,21:58,L-29,28.00,Burmese,469
4,0,4.00,Male,$50.00,8/12/2017,22:50,L-29,2.00,Burmese,470
8,3,8.25,Male,$150.00,8/12/2017,10:16,L-29,16.00,Burmese,471
7,9.5,7.79,Male,$150.00,8/13/2017,0:15,L-29,12.00,Burmese,477
2,4,2.33,Male,$50.00,8/13/2017,20:30,L-29,1.00,Burmese,478
7,7,7.58,Female,$150.00,8/14/2017,22:30,L-67,12.00,Burmese,480
4,9,4.75,Male,$75.00,8/14/2017,0:00,L-29,4.00,Burmese,481
7,0,7.00,Male,$125.00,8/14/2017,23:10,L-29,12.00,Burmese,482
7,6,7.50,Female,$150.00,8/15/2017,1:25,Rocky Glades,14.00,Burmese,484
9,3,9.25,Male,$175.00,8/15/2017,21:00,L-28T,22.00,Burmese,485
9,11,9.92,Female,$200.00,8/16/2017,0:00,L-29,31.00,Burmese,499
2,8,2.67,Male,$50.00,8/12/2017,21:30,L-31,1.00,Burmese,472
7,0,7.00,Male,$125.00,8/15/2017,22:00,L-31,11.00,Burmese,486
11,9,11.75,Female,$250.00,8/15/2017,22:00,L-31N,56.00,Burmese,487
2,2,2.17,Female,$50.00,8/15/2017,23:00,L-31N,1.00,Burmese,488
2,1.5,2.13,Female,$50.00,8/9/2017,20:30,C-103,1.00,Burmese,437
2,10.5,2.88,Female,$50.00,8/9/2017,22:00,C-103,1.00,Burmese,438
2,5.5,2.46,Female,$50.00,8/9/2017,22:15,C-103,1.00,Burmese,439
2,5,2.42,Female,$50.00,8/9/2017,22:30,C-103,1.00,Burmese,440
2,5,2.42,Male,$50.00,8/9/2017,22:45,C-103,1.00,Burmese,441
2,4.5,2.38,Male,$50.00,8/9/2017,23:00,C-103,1.00,Burmese,442
2,2.5,2.21,Female,$50.00,8/9/2017,2:50,Cell 27,1.00,Burmese,443
8,6,8.50,Female,$175.00,8/14/2017,1:50,L-67A,20.00,Burmese,483
3,1,3.08,Female,$50.00,8/16/2017,1:50,L-28T,1.00,Burmese,500
8,1.5,8.13,Male,$150.00,8/16/2017,4:10,L-28T,16.00,Burmese,501
2,4,2.33,Male,$50.00,8/15/2017,20:41,Rocky Glades,1.00,Burmese,489
8,1,8.08,Male,$150.00,8/15/2017,22:00,Rocky Glades,12.00,Burmese,490
8,0,8.00,Male,$150.00,8/16/2017,0:40,L-28T,24.00,Burmese,496
6,11,6.92,Male,$125.00,8/16/2017,2:30,L-28T,20.00,Burmese,497
9,11,9.92,Male,$200.00,8/16/2017,23:55,L-28T,40.00,Burmese,498
4,8,4.67,Female,$75.00,8/13/2017,22:57,Cell 27,4.00,Burmese,479
2,1.5,2.13,Male,$50.00,8/16/2017,23:09,C-4,1.00,Burmese,502
2,1.5,2.13,Male,$50.00,8/16/2017,0:15,Cell 27,1.00,Burmese,503
10,10,10.83,Male,$225.00,8/16/2017,22:25,C-111,30.00,Burmese,504
8,7,8.58,Male,$175.00,8/17/2017,1:30,L-28T,14.00,Burmese,510
2,5,2.42,Male,$50.00,8/17/2017,1:30,L-28T,1.00,Burmese,517
8,2,8.17,Female,$150.00,8/17/2017,21:50,L-31N,18.00,Burmese,511
2,3,2.25,Male,$50.00,8/17/2017,23:30,L-28T,1.00,Burmese,512
2,7,2.58,Male,$50.00,8/18/2017,1:30,L-28T,1.00,Burmese,521
2,6,2.50,Female,$50.00,8/18/2017,23:30,L-31E,1.00,Burmese,522
8,7,8.58,Male,$175.00,8/17/2017,22:39,L-29,20.00,Burmese,513
10,5,10.42,Male,$200.00,8/18/2017,23:46,L-29,24.00,Burmese,523
2,5,2.42,Male,$50.00,8/18/2017,22:40,L-29,1.00,Burmese,524
9,1,9.08,Female,$175.00,8/19/2017,2:00,L-29,19.00,Burmese,532
10,6,10.50,Female,$225.00,8/19/2017,0:30,L-29,25.00,Burmese,533
8,2,8.17,Female,$150.00,8/16/2017,22:00,L-67C,13.00,Burmese,505
7,6,7.50,Male,$150.00,8/17/2017,22:00,L-67A,8.00,Burmese,514
2,6,2.50,Male,$50.00,8/18/2017,22:00,L-67,1.00,Burmese,525
8,7,8.58,Male,$175.00,8/18/2017,22:48,L-31N,10.00,Burmese,526
2,4,2.33,Female,$50.00,8/16/2017,23:31,L-28T,1.00,Burmese,506
14,7,14.58,Female,$325.00,8/17/2017,2:00,L-28T,62.00,Burmese,515
8,8,8.67,Female,$175.00,8/5/2017,2:00,L-67A,17.00,Burmese,410
6,6,6.50,Male,$125.00,8/5/2017,3:00,L-67A,15.00,Burmese,411
2,3,2.25,?,$50.00,8/5/2017,5:00,L-67A,1.00,Burmese,412
10,9,10.75,Female,$225.00,8/18/2017,0:45,L-67A,24.00,Burmese,529
4,10,4.83,Female,$75.00,8/7/2017,21:20,L-29,10.00,Burmese,423
7,0,7.00,Female,$125.00,8/7/2017,23:19,L-28T,15.00,Burmese,424
8,6,8.50,Female,$175.00,8/7/2017,21:53,L-29,18.00,Burmese,425
9,6,9.50,Female,$200.00,8/7/2017,21:42,L-29,27.00,Burmese,426
5,10,5.83,Male,$100.00,8/10/2017,20:01,L-29,12.00,Burmese,451
4,11,4.92,Male,$75.00,8/10/2017,20:16,L-29,3.00,Burmese,452
8,9,8.75,Male,$175.00,8/15/2017,21:48,L-30,25.00,Burmese,493
8,10,8.83,Female,$175.00,8/15/2017,21:40,L-30,20.00,Burmese,494
8,7,8.58,Male,$175.00,8/15/2017,20:50,L-30,20.00,Burmese,495
7,7,7.58,Male,$150.00,8/16/2017,23:16,L-67A,15.00,Burmese,507
7,2,7.17,Female,$125.00,8/16/2017,23:49,L-67A,12.00,Burmese,508
8,3,8.25,Female,$150.00,8/16/2017,20:05,L-67A,18.00,Burmese,509
8,0,8.00,Female,$150.00,8/17/2017,23:17,C-4,16.00,Burmese,519
7,9,7.75,Female,$150.00,8/17/2017,22:53,C-4,17.00,Burmese,520
9,0,9.00,Female,$175.00,8/18/2017,20:35,L-30,19.00,Burmese,530
11,6,11.50,Female,$250.00,8/18/2017,0:06,L-30,40.00,Burmese,531
3,9,3.75,Female,N/A,8/19/2017,2:15,L-29,1.78,Burmese,542
9,4,9.33,Female,$175.00,8/19/2017,23:45,L-28T,18.00,Burmese,534
7,4,7.33,Female,N/A,8/22/2017,0:22,L-28T,19.50,Burmese,547
10,6,10.50,Female,$225.00,8/17/2017,22:12,L-67,32.00,Burmese,516
2,1,2.08,Male,$50.00,8/20/2017,22:30,L-33,1.00,Burmese,543
10,6,10.50,Female,$225.00,8/12/2017,20:52,L-67,32.00,Burmese,473
7,11,7.92,Female,$150.00,8/12/2017,21:38,L-67,14.00,Burmese,474
7,9,7.75,Female,$150.00,8/18/2017,1:03,L-28T,10.00,Burmese,527
9,4,9.33,Female,$175.00,8/22/2017,1:00,L-67,20.00,Burmese,548
2,3,2.25,Female,$50.00,8/17/2017,22:15,Rocky Glades,1.00,Burmese,518
6,10,6.83,Male,$125.00,8/19/2017,23:15,Rocky Glades,8.00,Burmese,535
2,7,2.58,Male,$50.00,8/19/2017,21:27,L-28T,1.00,Burmese,536
2,3,2.25,Male,$50.00,8/20/2017,21:30,L-28T,1.00,Burmese,544
5,0,5.00,Male,$75.00,8/22/2017,20:25,L-29,4.00,Burmese,549
4,7,4.58,Female,$75.00,8/22/2017,21:23,L-29,3.00,Burmese,550
7,6,7.50,Male,$150.00,8/22/2017,0:41,L-28T,8.00,Burmese,551
2,4,2.33,Female,$50.00,8/20/2017,22:00,L-28T,1.00,Burmese,545
2,5,2.42,Male,$50.00,8/20/2017,1:30,L-28T,1.00,Burmese,546
7,6,7.50,Female,$150.00,8/22/2017,1:00,L-31E,10.00,Burmese,552
2,6,2.50,Female,$50.00,8/22/2017,23:00,L-31E,1.00,Burmese,553
6,11,6.92,Male,$125.00,8/18/2017,21:30,L-31N,8.00,Burmese,528
2,3,2.25,Female,$50.00,8/15/2017,22:50,L-31N,1.00,Burmese,491
2,4,2.33,Male,$50.00,8/15/2017,22:50,L-31N,1.00,Burmese,492
2,5,2.42,Female,$50.00,8/22/2017,21:50,Rocky Glades,1.00,Burmese,554
7,11,7.92,Male,$150.00,8/19/2017,22:00,L-67A,20.00,Burmese,538
6,7,6.58,Female,$125.00,8/19/2017,22:15,L-67A,17.00,Burmese,539
9,3,9.25,Female,$175.00,8/19/2017,21:20,L-67A,32.00,Burmese,540
10,0,10.00,Male,$200.00,8/19/2017,22:45,L-67A,31.00,Burmese,541
2,10,2.83,Female,$50.00,8/27/2017,21:30,L-31E,1.00,Burmese,560
6,0,6.00,Male,$100.00,8/27/2017,22:30,L-31E,6.00,Burmese,561
6,6,6.50,Female,$125.00,8/27/2017,23:40,C-111,7.00,Burmese,558
6,6,6.50,Male,$125.00,8/27/2017,23:24,L-28T,7.00,Burmese,559
9,10,9.83,Female,$200.00,8/28/2017,1:00,L-29,28.00,Burmese,564
7,7,7.58,Female,$150.00,8/28/2017,1:30,L-29,16.00,Burmese,565
10,7,10.58,Female,$225.00,8/27/2017,22:25,Rocky Glades,34.00,Burmese,562
8,3,8.25,Female,$150.00,8/28/2017,21:10,L-28T,18.00,Burmese,566
8,1,8.08,Female,$150.00,8/28/2017,21:40,L-28T,13.00,Burmese,567
10,6,10.50,Male,$225.00,8/28/2017,21:20,L-31N,31.00,Burmese,568
8,0,8.00,Female,$150.00,8/22/2017,4:00,Rocky Glades,16.00,Burmese,555
4,6,4.50,Male,$75.00,8/28/2017,4:00,L-28T,4.00,Burmese,569
6,0,6.00,Female,$100.00,8/28/2017,22:40,Southern Glades,10.00,Burmese,570
7,6,7.50,Female,$150.00,8/28/2017,23:00,L-29,12.00,Burmese,571
8,11,8.92,Female,$175.00,8/30/2017,1:50,L-29,19.00,Burmese,578
7,9,7.75,Male,$150.00,8/29/2017,22:25,Rocky Glades,15.00,Burmese,573
8,0,8.00,Male,$150.00,8/30/2017,2:45,L-28T,24.00,Burmese,577
2,5,2.42,Female,$50.00,8/29/2017,23:35,L-28T,1.00,Burmese,574
2,7,2.58,Female,$50.00,8/30/2017,0:04,L-29,1.00,Burmese,579
9,0,9.00,Female,$175.00,8/30/2017,21:15,L-28T,16.00,Burmese,580
2,9.4,2.78,Female,$50.00,8/31/2017,22:30,Rocky Glades,1.00,Burmese,582
8,10,8.83,Female,$175.00,9/1/2017,22:30,L-28T,18.00,Burmese,585
7,10,7.83,Female,$150.00,9/2/2017,23:28,L-31E,14.00,Burmese,586
4,10,4.83,Female,$75.00,8/28/2017,21:30,L-31E,4.00,Burmese,572
2,5,2.42,Male,$50.00,8/29/2017,23:10,L-31E,1.00,Burmese,575
5,6,5.50,Female,$100.00,8/30/2017,21:23,Cell 27,4.00,Burmese,581
10,0,10.00,Male,$200.00,9/2/2017,1:30,Rocky Glades,20.00,Burmese,587
3,6,3.50,Male,$50.00,9/3/2017,3:05,L-28T,2.00,Burmese,588
16,6,16.50,Female,$375.00,9/5/2017,2:10,L-28T,108.00,Burmese,599
8,0,8.00,Female,$150.00,8/31/2017,22:03,L-30,21.00,Burmese,583
5,6,5.50,Male,$100.00,9/3/2017,21:34,L-28T,7.00,Burmese,589
2,3,2.25,Female,$50.00,9/4/2017,22:36,C-111,1.00,Burmese,590
2,9,2.75,Male,$50.00,9/4/2017,20:45,L-31N,1.00,Burmese,591
7,2,7.17,Male,$125.00,9/4/2017,23:35,L-31N,10.00,Burmese,592
6,2,6.17,Male,$100.00,9/4/2017,0:00,L-31N,8.00,Burmese,593
6,0,6.00,Female,$100.00,9/5/2017,23:00,Rocky Glades,7.00,Burmese,600
10,8,10.67,Male,$225.00,9/4/2017,20:25,Southern Glades,26.00,Burmese,594
8,4,8.33,Male,$150.00,8/19/2017,3:10,L-28T,18.00,Burmese,537
2,3.5,2.29,Female,$50.00,8/31/2017,23:35,L-68,1.00,Burmese,584
2,4.5,2.38,?,$50.00,8/26/2017,21:46,Cell 27,1.00,Burmese,556
1,11,1.92,?,$50.00,8/26/2017,22:51,Cell 27,1.00,Burmese,557
2,0,2.00,?,$50.00,8/27/2017,23:16,Cell 27,1.00,Burmese,563
2,4,2.33,?,$50.00,8/29/2017,23:36,Cell 27,1.00,Burmese,576
10,9,10.75,?,$225.00,9/4/2017,?,L-67,27.00,Burmese,596
2,0,2.00,?,$50.00,9/4/2017,?,L-28T,1.00,Burmese,597
7,10,7.83,?,$150.00,9/4/2017,?,L-28T,9.00,Burmese,598
11,0,11.00,Male,$225.00,10/16/2017,0:00,L-31E,40.00,Burmese,604
6,6,6.50,Male,$125.00,10/16/2017,2:00,L-28T,10.00,Burmese,605
9,6,9.50,Male,$200.00,10/16/2017,0:20,L-28T,12.00,Burmese,606
7,0,7.00,Male,$125.00,10/16/2017,3:00,L-28T,8.00,Burmese,607
6,6,6.50,Male,$125.00,9/4/2017,23:00,L-28T,8.00,Burmese,595
2,3,2.25,Male,$50.00,9/5/2017,22:30,L-31E,1.00,Burmese,601
2,6,2.50,Female,$50.00,9/5/2017,22:30,L-31E,1.00,Burmese,602
2,6,2.50,Male,$50.00,9/5/2017,23:00,L-31E,1.00,Burmese,603
8,6,8.50,Male,$175.00,10/16/2017,21:20,L-31N,19.00,Burmese,608
8,0,8.00,Male,$150.00,10/16/2017,22:11,L-31N,20.00,Burmese,609
10,0,10.00,Female,$200.00,10/16/2017,20:16,L-31N,26.00,Burmese,610
5,6,5.50,Male,$100.00,10/16/2017,1:17,L-28T,6.00,Burmese,611
9,6,9.50,Female,$200.00,10/17/2017,20:16,Rocky Glades,30.00,Burmese,616
8,6,8.50,Male,$175.00,10/17/2017,20:42,Rocky Glades,20.00,Burmese,617
2,4,2.33,Female,$50.00,10/17/2017,2:39,Rocky Glades,1.00,Burmese,618
9,9,9.75,Female,$200.00,10/18/2017,22:30,Rocky Glades,24.00,Burmese,620
9,6,9.50,Female,$200.00,10/18/2017,21:10,L-29,22.00,Burmese,621
2,10,2.83,Female,$50.00,10/16/2017,21:20,Frog Pond,1.00,Burmese,612
8,7,8.58,Male,$175.00,10/17/2017,20:05,Rocky Glades,20.00,Burmese,619
4,8,4.67,Female,$75.00,10/18/2017,21:38,Rocky Glades,4.00,Burmese,622
5,6,5.50,Male,$100.00,10/19/2017,21:00,Rocky Glades,4.00,Burmese,626
7,6,7.50,Male,$150.00,10/20/2017,1:09,L-29,11.00,Burmese,632
6,6,6.50,Male,$125.00,10/20/2017,22:39,L-28T,10.00,Burmese,633
7,6,7.50,Female,$150.00,10/16/2017,1:00,L-68,12.00,Burmese,613
2,7,2.58,Female,$50.00,10/19/2017,20:10,Rocky Glades,1.00,Burmese,625
7,6,7.50,Male,$150.00,10/21/2017,22:20,Frog Pond,17.00,Burmese,634
8,2,8.17,Male,$150.00,10/22/2017,0:05,L-31N,17.00,Burmese,635
2,4,2.33,Male,$50.00,10/18/2017,0:30,L-31E,1.00,Burmese,623
2,3,2.25,Male,$50.00,10/18/2017,1:20,L-31E,1.00,Burmese,624
9,10,9.83,Female,$200.00,10/23/2017,4:17,L-28T,24.00,Burmese,636
6,10,6.83,Male,$125.00,10/20/2017,20:54,L-31N,10.00,Burmese,627
5,10,5.83,Female,$100.00,10/24/2017,20:20,C-111,7.00,Burmese,637
11,3,11.25,Female,$225.00,10/24/2017,21:10,C-111,37.00,Burmese,638
2,3,2.25,N/A,$50.00,10/27/2017,21:19,L-28T,1.00,Burmese,640
16,11,16.92,Female,$375.00,10/20/2017,23:30,L-28T,122.00,Burmese,628
